t,x,y,u,k
0.76562500,0.01562500,0.70312500,0.00000702,0.00013478
0.76562500,0.29687500,0.48437500,0.37799412,0.01485035
0.76562500,0.48437500,0.39062500,0.66103363,0.01190663
0.76562500,0.76562500,0.92187500,0.67585838,0.01077479
0.76562500,0.79687500,0.64062500,0.66721988,0.01143276
0.79687500,0.07812500,0.76562500,0.00014038,0.00013514
0.79687500,0.20312500,0.26562500,0.05188129,0.00036042
0.79687500,0.39062500,0.32812500,0.51752889,0.01987747
0.79687500,0.45312500,0.10937500,0.60734916,0.01588310
0.79687500,0.45312500,0.89062500,0.60587221,0.01598345
0.79687500,0.48437500,0.14062500,0.65628415,0.01227098
0.79687500,0.60937500,0.51562500,0.73367083,0.00671062
0.82812500,0.07812500,0.01562500,0.00016348,0.00013520
0.82812500,0.10937500,0.35937500,0.00057711,0.00013632
0.82812500,0.32812500,0.64062500,0.43041417,0.01815396
0.82812500,0.48437500,0.10937500,0.65123349,0.01265815
0.82812500,0.64062500,0.70312500,0.71937907,0.00763840
0.85937500,0.17187500,0.23437500,0.00706543,0.00015506
0.85937500,0.23437500,0.45312500,0.25464216,0.00599978
0.85937500,0.39062500,0.23437500,0.51640844,0.01989259
0.85937500,0.60937500,0.29687500,0.73166144,0.00683729
0.85937500,0.85937500,0.73437500,0.64854819,0.01286359
0.85937500,0.89062500,0.67187500,0.65152985,0.01263545
0.85937500,0.92187500,0.51562500,0.64907509,0.01282331
0.85937500,0.92187500,0.76562500,0.64910817,0.01282078
0.89062500,0.10937500,0.54687500,0.00058140,0.00013633
0.89062500,0.20312500,0.76562500,0.08387570,0.00062659
0.89062500,0.29687500,0.35937500,0.38609263,0.01542878
0.89062500,0.32812500,0.82812500,0.43178517,0.01822268
0.89062500,0.39062500,0.67187500,0.51530337,0.01990654
0.89062500,0.39062500,0.98437500,0.51466846,0.01991412
0.89062500,0.54687500,0.10937500,0.72074491,0.00754712
0.89062500,0.85937500,0.82812500,0.65172684,0.01262036
0.92187500,0.26562500,0.51562500,0.33536834,0.01163084
0.92187500,0.57812500,0.01562500,0.72919559,0.00699447
0.92187500,0.57812500,0.85937500,0.73195350,0.00681880
0.92187500,0.60937500,0.92187500,0.73069483,0.00689868
