step,loss_pde,loss_bc,loss_u,loss_q
28400,30.058186,4.3972473,2.1074877,2164.8254
28500,29.865572,4.372955,2.0969322,2136.9585
28600,30.107752,4.3661685,2.0967653,2107.9976
28700,30.443178,4.3330064,2.0817804,2078.6943
28800,30.423754,4.3371825,2.0862505,2046.5529
28900,32.549095,4.3439565,2.089871,2017.4934
29000,32.291668,4.3531938,2.0963876,1987.4247
29100,35.819683,4.3300195,2.0849905,1951.2432
29200,36.7941,4.271828,2.0568376,1895.4667
29300,35.31364,4.2384267,2.0394132,1863.7869
29400,34.777996,4.236187,2.039001,1833.232
29500,34.112278,4.2115345,2.026491,1804.4797
29600,34.217678,4.221569,2.0332122,1773.5975
29700,65.95248,4.218621,2.0313244,1743.7168
29800,34.003155,4.260293,2.0524442,1714.3989
29900,188.8915,4.30636,2.0778618,1684.8691
30000,33.80799,4.327297,2.083743,1658.5562
30100,36.472027,4.3327026,2.0836484,1632.8805
30200,33.602325,4.3849163,2.1110911,1606.5186
30300,37.351402,4.3914504,2.1139715,1581.7047
30400,33.276093,4.4266768,2.1312487,1556.9855
30500,32.885365,4.4236236,2.1290498,1533.5583
30600,36.796318,4.4488792,2.1431696,1509.5792
30700,32.506207,4.4608545,2.148502,1486.698
30800,32.408936,4.44937,2.1432092,1464.5288
30900,35.828518,4.47391,2.1572468,1441.76
31000,32.308025,4.468019,2.1539562,1420.1891
31100,31.819107,4.49437,2.169858,1397.8733
31200,30.987679,4.4832673,2.165108,1376.7897
31300,155.80695,4.4961324,2.1786163,1354.6257
31400,30.894882,4.484998,2.1696682,1334.158
31500,30.7874,4.4590764,2.158259,1313.3645
31600,33.28607,4.4557214,2.1591017,1289.2501
31700,31.614447,4.424368,2.1425202,1261.557
31800,31.472773,4.428232,2.1452942,1240.2249
31900,32.800247,4.409213,2.1359773,1220.7457
32000,31.845581,4.4231734,2.1473691,1200.9495
32100,29.89029,4.396233,2.1353865,1182.5299
32200,48.497097,4.377747,2.1281745,1164.5605
32300,28.852472,4.362197,2.1233463,1145.9009
32400,32.19707,4.314089,2.0999255,1128.3812
32500,27.950197,4.307999,2.101729,1110.5522
32600,147.32295,4.2821746,2.0957978,1093.2268
32700,27.093622,4.236807,2.071899,1076.3312
32800,36.010727,4.2064114,2.0606923,1059.2716
32900,26.430592,4.1630974,2.0409062,1042.8287
33000,26.289322,4.143818,2.0346186,1026.1561
33100,25.718649,4.0862255,2.009089,1010.21765
33200,37.602165,4.0647874,2.0035303,993.66125
33300,27.813894,3.9955409,1.9686704,978.536
33400,30.16381,3.9394467,1.9431512,963.1071
33500,28.378286,3.9187088,1.9392389,946.6614
33600,24.631203,3.85724,1.911544,931.43994
33700,25.441895,3.7771833,1.8749666,916.12177
33800,24.45973,3.7186694,1.850845,899.51196
33900,23.856833,3.6400597,1.8139781,882.83826
34000,27.33786,3.60862,1.7985048,863.6857
34100,22.30786,3.5585172,1.775933,844.9618
34200,21.799168,3.5086265,1.7520249,828.41974
34300,91.923,3.443019,1.7141896,814.5342
34400,21.179296,3.4370313,1.7200485,798.09576
34500,23.222893,3.3647861,1.6860816,784.4512
34600,20.668907,3.3587513,1.6858104,769.7519
34700,29.286285,3.2751832,1.6424474,757.4538
34800,20.092688,3.271773,1.6477265,742.7768
34900,19.91878,3.2425506,1.6356182,729.3162
35000,19.610823,3.179162,1.606524,716.65924
35100,19.403103,3.154126,1.5969571,703.57764
35200,19.05528,3.0851789,1.5644212,691.55066
35300,18.886372,3.0644288,1.5577942,678.6546
35400,43.544132,3.0076294,1.5316341,666.8328
35500,18.1009,2.9773726,1.5196158,654.3523
35600,172.68643,2.902222,1.475137,644.80774
35700,17.312155,2.899106,1.4855525,630.8766
35800,17.550331,2.8776531,1.477108,619.08026
35900,17.6857,2.83016,1.4548125,608.2672
36000,16.785414,2.8181412,1.4526157,596.69135
36100,45.485424,2.7607915,1.4276962,586.1126
36200,16.37705,2.751927,1.4250126,575.1337
36300,16.429203,2.730285,1.4166683,564.31726
36400,15.996217,2.682287,1.3955152,554.32385
36500,15.898288,2.6666574,1.39074,543.846
36600,15.954319,2.6072068,1.3633814,534.3381
36700,15.502539,2.599788,1.3633136,524.08936
36800,62.499424,2.5695846,1.3521332,514.24426
36900,15.20094,2.535857,1.3373977,504.8127
37000,15.021551,2.493969,1.3195747,495.61856
37100,27.514135,2.4583235,1.3061628,486.3277
37200,166.58897,2.4423027,1.305072,476.61487
37300,14.478045,2.3898358,1.2774082,468.41998
37400,14.656213,2.3406851,1.2558901,459.96338
37500,14.291649,2.3167589,1.2475883,451.05756
37600,13.96166,2.271248,1.2280172,442.89798
37700,14.45604,2.239128,1.2147274,434.49182
37800,13.794349,2.1983094,1.1980454,426.38046
37900,13.720595,2.151872,1.1776477,418.56085
38000,28.962843,2.1378531,1.1727628,410.1338
38100,13.441596,2.0839148,1.1506013,402.89478
38200,13.515174,2.043138,1.1328036,395.5232
38300,152.86302,2.028592,1.1328232,387.21448
38400,13.132034,1.9786321,1.1070879,380.72763
38500,14.847621,1.9296564,1.0833672,374.0488
38600,12.976093,1.9139655,1.080735,366.51602
38700,22.198097,1.8589166,1.0549865,360.3806
38800,12.850414,1.8513309,1.0552725,352.84045
38900,12.988818,1.8279186,1.0460815,345.9724
39000,12.798753,1.7969149,1.033432,339.42947
39100,12.821241,1.7760315,1.0256414,332.54224
39200,13.137258,1.7467117,1.0131098,325.9018
39300,13.659119,1.7288327,1.0068353,318.7196
39400,13.343882,1.705959,0.9973765,311.15536
39500,17.849257,1.6822299,0.984101,302.04
39600,13.710152,1.6920102,0.9900188,289.31384
39700,24.62178,1.6641626,0.9784499,278.83432
39800,14.993969,1.6212375,0.9588495,270.42813
39900,14.253387,1.5792301,0.9401149,262.7982
40000,13.286959,1.5574566,0.9323486,255.21771
40100,13.059193,1.5274713,0.91942525,248.28368
40200,29.03041,1.4972285,0.90670294,241.66406
40300,12.542505,1.4848133,0.90184253,235.308
40400,13.526699,1.4613577,0.89177996,229.38902
40500,13.1571665,1.4465148,0.8857408,223.29419
40600,12.9562235,1.4183301,0.8744517,217.79762
40700,12.519869,1.3922108,0.8643065,211.90906
40800,12.456592,1.3294379,0.83883774,205.50468
40900,12.848132,1.2526582,0.8088253,198.88632
41000,13.238262,1.1770935,0.7781592,192.82822
41100,12.946172,1.10627,0.7533109,185.4724
41200,13.192003,1.0605317,0.7352285,180.00859
41300,12.937656,1.017813,0.71929455,174.36429
41400,128.26587,0.97969747,0.7060825,169.19907
41500,12.820547,0.96310407,0.6984211,164.72775
41600,35.93763,0.93404937,0.6887084,160.10097
41700,12.62921,0.9266191,0.6847177,155.99332
41800,12.515995,0.90809304,0.6778784,151.8024
41900,12.813654,0.9038632,0.67641383,147.99738
42000,12.229667,0.89267725,0.67235804,144.113
42100,12.126633,0.8766013,0.6664946,140.31525
42200,12.226836,0.86392945,0.66181356,136.72272
42300,34.81588,0.84478027,0.6529651,133.69283
42400,11.730824,0.8461937,0.6556969,129.90128
42500,33.050514,0.8279768,0.6478265,127.0293
42600,11.48896,0.82633036,0.6487809,123.45766
42700,12.475695,0.82045305,0.6470896,120.429276
42800,11.241799,0.8120913,0.6439485,117.434
42900,11.537719,0.79866517,0.63904625,114.57411
43000,12.658677,0.793163,0.6375996,111.73372
43100,11.131471,0.78485274,0.6345482,109.024666
43200,10.813088,0.7797181,0.63296735,106.42469
43300,30.4632,0.772043,0.63044953,103.80455
43400,83.56598,0.7563227,0.6227482,101.81873
43500,10.494514,0.7577472,0.6257991,98.92648
43600,12.888888,0.7526375,0.6238875,96.58759
43700,10.290388,0.7450554,0.621797,94.28288
43800,11.814688,0.73640233,0.61916584,92.00072
43900,10.299679,0.73010087,0.6171134,89.8776
44000,10.032304,0.72495,0.61549264,87.80709
44100,10.802789,0.71540743,0.6123288,85.90678
44200,9.866055,0.7116201,0.6114217,83.77597
44300,10.09022,0.7084967,0.6104192,81.88295
44400,9.716913,0.70022845,0.6080715,79.96003
44500,10.192836,0.6914198,0.60512394,78.12351
44600,9.583348,0.68682754,0.60410255,76.32213
44700,10.012021,0.6803272,0.6027401,74.67098
44800,9.435855,0.67394096,0.6003533,72.83794
44900,10.066576,0.67137575,0.60014695,71.20271
45000,9.279813,0.663934,0.59760624,69.53862
45100,9.909228,0.65565854,0.595019,67.93076
45200,9.222425,0.64943916,0.5934855,66.30384
45300,9.011776,0.6447336,0.59221965,64.77599
45400,12.935752,0.6391647,0.5909026,63.30475
45500,8.729855,0.6345544,0.58953285,61.70846
45600,9.365695,0.62828887,0.5880923,60.200497
45700,8.566582,0.62294966,0.58631283,58.804764
45800,8.345591,0.6189328,0.5853513,57.439777
45900,9.989685,0.6141222,0.5839484,56.21193
46000,8.067911,0.609245,0.58287156,54.83822
46100,8.097894,0.6063187,0.58208317,53.655857
46200,7.8319955,0.6010248,0.5807843,52.472027
46300,7.8544273,0.5968716,0.5800522,51.402077
46400,7.6229596,0.59257597,0.57871264,50.308228
46500,8.466114,0.59051096,0.57884055,49.41718
46600,7.4224625,0.5872314,0.57776874,48.33157
46700,7.331118,0.5832264,0.576744,47.33882
46800,7.5563526,0.58195716,0.57640207,46.477882
46900,7.141975,0.5786557,0.5761176,45.552864
47000,9.361776,0.5758357,0.57541686,44.64522
47100,6.992488,0.5720248,0.5747475,43.827606
47200,6.9413624,0.5700693,0.5746007,43.030758
47300,11.668838,0.5669434,0.57248235,42.283993
47400,6.719446,0.5656049,0.57398736,41.45372
47500,9.555688,0.56259394,0.5727716,40.770256
47600,6.5721326,0.5603734,0.57316494,39.978382
47700,6.8056545,0.558922,0.57321054,39.32712
47800,6.427225,0.5567479,0.5727799,38.599674
47900,7.486993,0.5547334,0.57343185,38.032562
48000,6.2917857,0.55306184,0.5724421,37.297592
48100,66.38945,0.5530267,0.57118773,36.743927
48200,6.1618595,0.5495663,0.5721832,36.061623
48300,6.0956535,0.5472655,0.5716425,35.432236
48400,6.482655,0.546154,0.57182187,34.905144
48500,5.966205,0.54403955,0.571367,34.302807
48600,6.992218,0.5414333,0.5709536,33.71921
48700,5.872198,0.53950804,0.5705725,33.199
48800,5.841312,0.53758353,0.5704176,32.679173
48900,6.0976005,0.53499043,0.5701802,32.182655
49000,6.128249,0.5328326,0.5695394,31.628885
49100,5.777799,0.5307869,0.5694425,31.144665
49200,10.347348,0.5272261,0.57037675,30.767529
49300,5.7323303,0.52637446,0.5681772,30.187801
49400,5.4938426,0.5245693,0.5681857,29.729977
49500,5.9016976,0.52216697,0.5680288,29.30679
49600,5.391535,0.52030313,0.5672304,28.826828
49700,6.5288086,0.5162921,0.5657855,28.483875
49800,5.3038282,0.5152613,0.56610847,27.978416
49900,6.8478885,0.51288766,0.56709164,27.61238
