x,t,u_pred,k_pred
0.46231157,0.30150753,0.7084774,0.015021764
0.46733668,0.30150753,0.71451354,0.0150221065
0.4723618,0.30150753,0.7197529,0.015022382
0.47738692,0.30150753,0.7241677,0.015022603
0.48241207,0.30150753,0.7277421,0.015022771
0.4874372,0.30150753,0.73045564,0.015022891
0.4924623,0.30150753,0.7322984,0.0150229735
0.49748743,0.30150753,0.7332598,0.015023017
0.5025126,0.30150753,0.73333406,0.01502302
0.50753766,0.30150753,0.732522,0.01502299
0.5125628,0.30150753,0.7308253,0.015022911
0.51758796,0.30150753,0.7282533,0.015022794
0.52261305,0.30150753,0.7248127,0.015022637
0.5276382,0.30150753,0.72052443,0.015022424
0.53266335,0.30150753,0.71540236,0.015022156
0.53768843,0.30150753,0.70947105,0.015021819
0.5427136,0.30150753,0.7027603,0.015021413
0.5477387,0.30150753,0.6952919,0.01502091
0.5527638,0.30150753,0.68710375,0.01502031
0.55778897,0.30150753,0.6782316,0.0150195705
0.56281406,0.30150753,0.66871256,0.015018687
0.5678392,0.30150753,0.6585853,0.015017614
0.5728643,0.30150753,0.647896,0.015016317
0.57788944,0.30150753,0.6366867,0.0150147425
0.5829146,0.30150753,0.6250068,0.015012823
0.5879397,0.30150753,0.6128969,0.015010484
0.5929648,0.30150753,0.6004105,0.015007624
0.59799,0.30150753,0.58759236,0.0150040975
0.60301507,0.30150753,0.5744939,0.014999737
0.6080402,0.30150753,0.5611595,0.014994311
0.6130653,0.30150753,0.5476376,0.014987523
0.61809045,0.30150753,0.5339714,0.014978953
0.6231156,0.30150753,0.52020574,0.014968069
0.6281407,0.30150753,0.506382,0.014954127
0.63316584,0.30150753,0.49253577,0.014936118
0.6381909,0.30150753,0.4787053,0.014912645
0.6432161,0.30150753,0.464916,0.014881789
0.6482412,0.30150753,0.45120078,0.014840895
0.6532663,0.30150753,0.4375797,0.01478628
0.65829146,0.30150753,0.42407054,0.0147129195
0.6633166,0.30150753,0.41068256,0.014613907
0.6683417,0.30150753,0.39741915,0.0144799715
0.67336684,0.30150753,0.38427144,0.014298777
0.67839193,0.30150753,0.37121958,0.014054323
0.6834171,0.30150753,0.358226,0.013726338
0.68844223,0.30150753,0.34523058,0.013290064
0.6934673,0.30150753,0.33214176,0.012716557
0.69849247,0.30150753,0.31882095,0.01197394
0.7035176,0.30150753,0.30506653,0.011030828
0.7085427,0.30150753,0.29057884,0.009862989
0.71356785,0.30150753,0.27490038,0.008465363
0.71859294,0.30150753,0.2573136,0.006872491
0.7236181,0.30150753,0.23665798,0.005185539
0.72864324,0.30150753,0.21116334,0.0035944555
0.7336683,0.30150753,0.17899859,0.0023435426
0.7386935,0.30150753,0.14119518,0.0015725112
0.74371856,0.30150753,0.104599714,0.0011918411
0.7487437,0.30150753,0.07637119,0.0010211751
0.75376886,0.30150753,0.05760157,0.00094228174
0.75879395,0.30150753,0.045473337,0.00090161053
0.7638191,0.30150753,0.037241817,0.00087769993
0.76884425,0.30150753,0.031289697,0.00086202304
0.77386934,0.30150753,0.02665639,0.0008506671
0.7788945,0.30150753,0.022780538,0.0008416967
0.7839196,0.30150753,0.019406915,0.00083425705
0.7889447,0.30150753,0.01645732,0.0008280198
0.79396987,0.30150753,0.013915539,0.00082283525
0.79899496,0.30150753,0.0117663145,0.00081858516
0.8040201,0.30150753,0.009978056,0.0008151376
0.80904526,0.30150753,0.008502126,0.00081235263
0.81407034,0.30150753,0.007287383,0.0008100996
0.8190955,0.30150753,0.006281495,0.00080826104
0.8241206,0.30150753,0.005439639,0.00080674014
